公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称
002404,嘉欣丝绸,浙江嘉欣丝绸股份有限公司,"Zhejiang Jiaxin Silk Corp.,Ltd",浙江省嘉兴市中环西路588号,2404,嘉欣丝绸
002405,四维图新,北京四维图新科技股份有限公司,"NavInfo Co.,Ltd.",北京市海淀区学院路7号弘彧大厦10层1002A室,2405,四维图新
002406,远东传动,许昌远东传动轴股份有限公司,"Xuchang Yuandong Drive Shaft CO.,Ltd.",河南省许昌市北郊尚集镇,2406,远东传动
002407,多氟多,多氟多化工股份有限公司,"Do-Fluoride Chemicals Co., Ltd",河南省焦作市中站区焦克路,2407,多氟多
002408,齐翔腾达,淄博齐翔腾达化工股份有限公司,"ZIBO QIXIANG TENGDA CHEMICAL CO.,LTD.",山东省淄博市临淄区胶厂南路1号,2408,齐翔腾达
002409,雅克科技,江苏雅克科技股份有限公司,"Jiangsu Yoke Technology Co., Ltd.",江苏省无锡宜兴经济开发区荆溪北路,2409,雅克科技
002410,广联达,广联达软件股份有限公司,GLODON SOFTWARE COMPANY LIMITED.,北京市海淀区东北旺西路8号院中关村软件园甲18号楼,2410,广联达
002411,九九久,江苏九九久科技股份有限公司,"Jiangsu Jiujiujiu Technology Co.,LTD.",江苏省如东县沿海经济开发区黄海三路12号,2411,九九久
002412,汉森制药,湖南汉森制药股份有限公司,"Hunan Hansen Pharmaceutical Co.,Ltd.",湖南省益阳市银城南路龙岭工业园,2412,汉森制药
002413,常发股份,江苏常发制冷股份有限公司,"JIANGSU CHANGFA REFRIGERATION CO., LTD.",江苏省常州市武进区礼嘉镇建东村建华路南,2413,常发股份
002414,高德红外,武汉高德红外股份有限公司,"Wuhan Guide Infrared CO.,LTD",湖北省武汉市东湖开发区黄龙山南路6号,2414,高德红外
002415,海康威视,杭州海康威视数字技术股份有限公司,"HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO., LTD",浙江省杭州市西湖区马塍路36号,2415,海康威视
002416,爱施德,深圳市爱施德股份有限公司,"Shenzhen Aisidi CO.,LTD.",广东省深圳市福田区泰然大道东泰然劲松大厦20F,2416,爱施德
002417,三元达,福建三元达通讯股份有限公司,"Fujian Sunnada Communication Co.,Ltd",福建省福州市鼓楼区五凤街道软件大道89号福州软件园产业基地二期7#楼,2417,三元达
002418,康盛股份,浙江康盛股份有限公司,"ZHE JIANG KANGSHENG CO.,LTD.",浙江省杭州市淳安县千岛湖镇康盛路268号,2418,康盛股份
